Estado,Municipio,rendimiento_ton_ha,precio_mxn_ton,precio_mxn_kg,eficiencia,produccion_total
Chiapas,Acacoyagua,0.952,4346.672,4.3467,0.9993,12979.06
Chiapas,Acapetahua,0.83,4400.438,4.4004,0.7143,66.33
Chiapas,Aldama,2.618,6558.426,6.5584,0.9909,5529.56
Chiapas,Altamirano,2.588,6134.614,6.1346,0.9972,27171.75
Chiapas,Amatenango De La Frontera,2.092,4874.566,4.8746,0.9955,66532.22
Chiapas,Amatán,1.264,4518.948,4.5189,0.9931,15811.02
Chiapas,Angel Albino Corzo,0.952,6601.13,6.6011,0.9066,27946.26
Chiapas,Arriaga,2.31,4592.874,4.5929,0.85,39.15
Chiapas,Bejucal De Ocampo,3.036,4893.876,4.8939,0.8526,737.98
Chiapas,Bella Vista,2.728,4899.594,4.8996,0.9971,64508.7
Chiapas,Berriozábal,1.136,5447.118,5.4471,0.9048,1598.42
Chiapas,Bochil,2.088,4631.928,4.6319,0.9947,2761.31
Chiapas,Cacahoatán,1.244,4428.186,4.4282,0.9452,39171.28
Chiapas,Capitán Luis Ángel Vidal,2.3167,4937.6667,4.9377,0.9965,19093.99
Chiapas,Chalchihuitán,2.474,6099.688,6.0997,0.9947,21903.05
Chiapas,Chapultenango,1.414,4489.058,4.4891,0.9872,4593.95
Chiapas,Chenalhó,2.584,6135.976,6.136,0.9969,51456.63
Chiapas,Chiapa De Corzo,0.986,5495.102,5.4951,0.7474,140.2
Chiapas,Chicomuselo,1.472,5528.72,5.5287,0.9901,23695.95
Chiapas,Chilón,1.18,4864.11,4.8641,0.999,78334.3
Chiapas,Cintalapa,1.812,5707.496,5.7075,0.9161,2929.99
Chiapas,Coapilla,1.31,5706.996,5.707,0.9,1744.9
Chiapas,Copainalá,1.402,5705.18,5.7052,0.9685,8527.14
Chiapas,El Bosque,2.186,4502.246,4.5022,0.9965,59921.92
Chiapas,El Porvenir,3.154,5162.478,5.1625,0.9612,2109.59
Chiapas,Escuintla,1.136,4448.242,4.4482,0.9969,60783.99
Chiapas,Francisco León,1.444,4728.862,4.7289,0.9741,321.92
Chiapas,Frontera Comalapa,1.494,5562.614,5.5626,0.9766,8607.39
Chiapas,Huehuetán,1.438,4426.808,4.4268,0.9221,14850.45
Chiapas,Huitiupán,2.328,4516.546,4.5165,0.9919,23089.28
Chiapas,Huixtla,1.42,5025.668,5.0257,0.9442,30925.9
Chiapas,Ixhuatán,0.816,4428.346,4.4283,0.9919,4697.08
Chiapas,Ixtacomitán,1.116,4462.79,4.4628,0.9711,697.6
Chiapas,Ixtapa,0.898,5574.7,5.5747,0.8926,545.23
Chiapas,Ixtapangajoya,1.248,4489.254,4.4893,0.9679,661.68
Chiapas,Jiquipilas,1.798,5698.734,5.6987,0.9139,3302.92
Chiapas,Jitotol,2.214,4653.016,4.653,0.9902,11836.4
Chiapas,La Concordia,1.002,6800.054,6.8001,0.9872,40620.6
Chiapas,La Grandeza,3.052,4918.362,4.9184,0.9686,2069.16
Chiapas,La Independencia,1.262,5754.556,5.7546,0.8484,15303.25
Chiapas,La Trinitaria,1.374,5773.836,5.7738,0.9742,6318.53
Chiapas,Larráinzar,2.722,6332.474,6.3325,0.9894,7708.17
Chiapas,Las Margaritas,1.242,5753.784,5.7538,0.7824,48198.2
Chiapas,Mapastepec,1.138,4485.028,4.485,0.9946,17696.93
Chiapas,Maravilla Tenejapa,1.288,5761.93,5.7619,0.8955,7533.97
Chiapas,Mazapa De Madero,2.022,4893.44,4.8934,1.0,30.33
Chiapas,Mitontic,2.502,6072.636,6.0726,0.9817,2730.07
Chiapas,Montecristo De Guerrero,0.942,7220.702,7.2207,0.9682,18319.47
Chiapas,Motozintla,2.71,5109.46,5.1095,0.9964,214248.83
Chiapas,Ocosingo,1.412,5175.628,5.1756,0.9625,38988.46
Chiapas,Ocotepec,1.222,5610.854,5.6109,0.9732,5464.92
Chiapas,Ocozocoautla De Espinosa,1.156,5595.886,5.5959,0.9206,16651.49
Chiapas,Ostuacán,1.31,4708.12,4.7081,0.9156,56.33
Chiapas,Oxchuc,2.876,6052.29,6.0523,0.9972,26808.29
Chiapas,Palenque,1.432,4973.742,4.9737,0.9941,2177.42
Chiapas,Pantelhó,2.56,6047.986,6.048,0.9962,29312.52
Chiapas,Pantepec,0.76,4413.99,4.414,0.9877,1218.68
Chiapas,Pijijiapan,2.218,4533.162,4.5332,0.9739,11912.93
Chiapas,Pueblo Nuevo Solistahuacán,2.242,4644.15,4.6442,0.9822,19506.16
Chiapas,Rayón,0.766,4407.922,4.4079,0.9828,481.73
Chiapas,Rincón Chamula San Pedro,2.25,4990.1367,4.9901,0.9864,6189.87
Chiapas,Sabanilla,1.412,4924.47,4.9245,0.9989,28494.52
Chiapas,Salto De Agua,1.388,5037.232,5.0372,0.9975,7146.92
Chiapas,San Andrés Duraznal,2.288,4508.386,4.5084,0.9908,8364.77
Chiapas,San Fernando,1.124,5713.248,5.7132,0.9476,5704.2
Chiapas,San Juan Cancuc,2.614,6122.256,6.1223,0.9976,35505.1
Chiapas,Santiago El Pinar,2.64,6396.074,6.3961,0.9899,7486.31
Chiapas,Siltepec,2.61,5170.82,5.1708,0.997,99755.58
Chiapas,Simojovel,2.08,4506.72,4.5067,0.9982,80630.22
Chiapas,Sitalá,1.222,4974.824,4.9748,0.9982,12316.85
Chiapas,Solosuchiapa,1.244,4499.97,4.5,0.9849,5308.68
Chiapas,Tapachula,1.262,4828.512,4.8285,0.9582,157162.77
Chiapas,Tapalapa,0.748,4434.908,4.4349,0.9887,2216.23
Chiapas,Tapilula,0.814,4423.462,4.4235,0.992,4640.72
Chiapas,Tecpatán,1.264,5619.638,5.6196,0.9471,3573.38
Chiapas,Tenejapa,2.794,5966.748,5.9667,0.9975,45547.33
Chiapas,Teopisca,2.694,5935.92,5.9359,0.9892,6155.51
Chiapas,Tila,1.072,5088.726,5.0887,0.9994,48548.88
Chiapas,Tonalá,2.172,4539.908,4.5399,0.9381,494.2
Chiapas,Tumbalá,1.194,5025.33,5.0253,0.9989,20424.13
Chiapas,Tuxtla Chico,1.166,4414.684,4.4147,0.9201,5839.24
Chiapas,Tuzantán,1.324,4405.98,4.406,0.9716,26002.69
Chiapas,Unión Juárez,1.316,4448.168,4.4482,0.9062,17189.6
Chiapas,Villa Comaltitlán,1.3,4398.934,4.3989,0.9156,24293.14
Chiapas,Villa Corzo,0.968,7006.17,7.0062,0.9737,21099.84
Chiapas,Villaflores,0.714,7192.068,7.1921,0.998,3187.82
Chiapas,Yajalón,1.232,5053.52,5.0535,0.9986,16147.76
Oaxaca,Acatlán De Pérez Figueroa,0.914,4623.418,4.6234,0.4503,822.52
Oaxaca,Asunción Cacalotepec,0.93,5965.03,5.965,0.9877,2387.89
Oaxaca,Asunción Tlacolulita,0.608,5385.014,5.385,0.968,55.18
Oaxaca,Ayotzintepec,0.814,4650.306,4.6503,0.7517,1244.77
Oaxaca,Candelaria Loxicha,0.426,6095.176,6.0952,0.5919,5877.73
Oaxaca,Chiquihuitlán De Benito Juárez,0.792,5371.572,5.3716,0.9834,1267.14
Oaxaca,Concepción Pápalo,0.784,5370.014,5.37,0.9505,209.91
Oaxaca,Constancia Del Rosario,0.818,6383.348,6.3833,0.9572,128.66
Oaxaca,Cosolapa,0.886,4635.19,4.6352,0.8101,2339.74
Oaxaca,Cuyamecalco Villa De Zaragoza,0.8,5394.756,5.3948,0.9634,194.92
Oaxaca,Eloxochitlán De Flores Magón,0.796,5399.192,5.3992,0.9871,4035.61
Oaxaca,Guevea De Humboldt,0.474,5440.944,5.4409,0.998,4768.31
Oaxaca,Heroica Ciudad De Tlaxiaco,0.84,6443.6,6.4436,0.9835,77.7
Oaxaca,Huautepec,0.814,5398.378,5.3984,0.9962,3489.46
Oaxaca,Huautla De Jiménez,0.748,5421.386,5.4214,0.9924,4729.2
Oaxaca,Ixtlán De Juárez,1.058,5858.226,5.8582,0.8358,6457.8
Oaxaca,La Reforma,0.766,6344.332,6.3443,0.9849,3417.16
Oaxaca,Matías Romero Avendaño,0.812,5391.456,5.3915,0.9805,163.15
Oaxaca,Mazatlán Villa De Flores,0.728,5440.59,5.4406,0.9936,4291.87
Oaxaca,Nejapa De Madero,0.574,5387.266,5.3873,0.999,1289.04
Oaxaca,Pinotepa De Don Luis,0.4,5830.912,5.8309,0.9105,49.03
Oaxaca,Pluma Hidalgo,0.706,6553.428,6.5534,0.6546,11526.65
Oaxaca,Putla Villa De Guerrero,0.862,6425.042,6.425,0.9924,9431.76
Oaxaca,San Agustín Chayuco,0.444,5820.922,5.8209,0.9971,1776.2
Oaxaca,San Agustín Loxicha,0.418,6097.15,6.0972,0.6501,8026.52
Oaxaca,San Andrés Cabecera Nueva,0.846,6408.732,6.4087,0.9961,1742.24
Oaxaca,San Andrés Solaga,1.038,5923.66,5.9237,0.983,498.38
Oaxaca,San Andrés Teotilálpam,0.764,5438.802,5.4388,0.9931,3099.74
Oaxaca,San Andrés Yaá,1.054,5895.962,5.896,1.0,379.36
Oaxaca,San Antonio Tepetlapa,0.402,5835.524,5.8355,0.8635,29.61
Oaxaca,San Baltazar Loxicha,0.444,6132.912,6.1329,0.8293,887.73
Oaxaca,San Bartolomé Ayautla,0.822,5406.962,5.407,0.9951,2564.73
Oaxaca,San Bartolomé Loxicha,0.454,6056.876,6.0569,0.7099,1284.45
Oaxaca,San Carlos Yautepec,0.588,5392.164,5.3922,0.9967,1530.22
Oaxaca,San Cristóbal Lachirioag,1.02,5855.034,5.855,0.9951,807.74
Oaxaca,San Felipe Jalapa De Díaz,0.904,5309.69,5.3097,0.7731,3897.14
Oaxaca,San Felipe Usila,0.886,4632.194,4.6322,0.8932,7480.03
Oaxaca,San Francisco Cahuacuá,1.496,5085.124,5.0851,0.9704,593.55
Oaxaca,San Francisco Chapulapa,0.78,5369.804,5.3698,0.9912,1203.22
Oaxaca,San Francisco Ozolotepec,1.28,5390.39,5.3904,0.9771,905.99
Oaxaca,San Gabriel Mixtepec,0.416,5797.604,5.7976,0.5961,2959.31
Oaxaca,San Ildefonso Villa Alta,1.058,5690.702,5.6907,0.9817,3456.32
Oaxaca,San Jerónimo Coatlán,1.184,5281.974,5.282,0.9936,5809.52
Oaxaca,San Jerónimo Tecóatl,0.822,5459.888,5.4599,0.9874,1328.06
Oaxaca,San José Chiltepec,1.044,4664.074,4.6641,0.6228,468.99
Oaxaca,San José Independencia,0.994,4640.76,4.6408,0.671,920.16
Oaxaca,San José Tenango,0.784,5447.318,5.4473,0.9948,15083.42
Oaxaca,San Juan Bautista Tlacoatzintepec,0.75,5350.48,5.3505,0.9942,2498.68
Oaxaca,San Juan Bautista Valle Nacional,1.096,4696.218,4.6962,0.9433,26512.16
Oaxaca,San Juan Cacahuatepec,0.442,5818.57,5.8186,0.9768,111.5
Oaxaca,San Juan Coatzóspam,0.794,5378.824,5.3788,0.9889,3298.32
Oaxaca,San Juan Colorado,0.452,5820.498,5.8205,0.9922,643.1
Oaxaca,San Juan Comaltepec,0.866,4664.1,4.6641,0.7907,1284.17
Oaxaca,San Juan Cotzocón,1.358,4728.584,4.7286,0.9601,21806.17
Oaxaca,San Juan Guichicovi,0.894,5392.752,5.3928,0.9991,10680.64
Oaxaca,San Juan Juquila Mixes,0.924,5659.644,5.6596,0.9986,1983.43
Oaxaca,San Juan Juquila Vijanos,1.042,5999.898,5.9999,0.9925,1818.96
Oaxaca,San Juan Lachao,0.41,5780.942,5.7809,0.5982,2824.54
Oaxaca,San Juan Lalana,0.786,5304.476,5.3045,0.9081,5513.28
Oaxaca,San Juan Mazatlán,0.946,5433.678,5.4337,0.7206,3632.66
Oaxaca,San Juan Ozolotepec,1.262,5431.424,5.4314,0.9874,2281.3
Oaxaca,San Juan Petlapa,0.786,5459.73,5.4597,0.746,1328.19
Oaxaca,San Juan Quiahije,0.498,5761.714,5.7617,0.7261,453.06
Oaxaca,San Juan Quiotepec,1.094,5967.424,5.9674,1.0,543.89
Oaxaca,San Juan Tabaá,1.02,5861.35,5.8614,0.9879,448.16
Oaxaca,San Juan Tepeuxila,0.776,5390.288,5.3903,0.9721,454.55
Oaxaca,San Juan Yaeé,1.004,6030.086,6.0301,0.9794,1808.24
Oaxaca,San Juan Yatzona,1.068,5752.218,5.7522,0.999,1079.69
Oaxaca,San Lorenzo,0.46,5816.522,5.8165,0.9644,137.1
Oaxaca,San Lorenzo Cuaunecuiltitla,0.806,5401.558,5.4016,0.9355,19.23
Oaxaca,San Lorenzo Texmelúcan,1.54,5126.552,5.1266,0.9807,760.97
Oaxaca,San Lucas Camotlán,0.964,5589.932,5.5899,0.9452,3682.69
Oaxaca,San Lucas Ojitlán,0.886,4645.51,4.6455,0.736,1225.97
Oaxaca,San Lucas Zoquiápam,0.762,5401.286,5.4013,0.986,3740.54
Oaxaca,San Marcial Ozolotepec,1.204,5190.228,5.1902,0.9866,835.17
Oaxaca,San Mateo Piñas,0.422,6079.526,6.0795,0.6111,5008.32
Oaxaca,San Mateo Río Hondo,1.144,5241.282,5.2413,0.9921,1317.97
Oaxaca,San Mateo Yoloxochitlán,0.822,5512.466,5.5125,0.991,1770.39
Oaxaca,San Melchor Betaza,1.014,5869.972,5.87,0.9797,321.45
Oaxaca,San Miguel Del Puerto,0.422,6096.402,6.0964,0.6081,4848.19
Oaxaca,San Miguel Panixtlahuaca,0.406,5791.69,5.7917,0.6911,2837.81
Oaxaca,San Miguel Quetzaltepec,0.962,5721.45,5.7214,0.9954,9999.4
Oaxaca,San Miguel Soyaltepec,0.82,4641.066,4.6411,0.7709,196.65
Oaxaca,San Miguel Yotao,1.068,5936.022,5.936,0.8774,894.29
Oaxaca,San Pablo Coatlán,1.276,5419.202,5.4192,0.9957,3069.48
Oaxaca,San Pedro Atoyac,0.546,5846.418,5.8464,0.9862,273.64
Oaxaca,San Pedro El Alto,0.438,6067.502,6.0675,0.5491,346.22
Oaxaca,San Pedro Ixcatlán,0.838,4606.608,4.6066,0.7454,2242.55
Oaxaca,San Pedro Mixtepec - Dto. 22,0.358,6103.744,6.1037,0.9904,323.46
Oaxaca,San Pedro Ocopetatillo,0.808,5430.236,5.4302,0.9769,939.61
Oaxaca,San Pedro Ocotepec,0.992,5686.036,5.686,0.9986,2041.44
Oaxaca,San Pedro Pochutla,0.464,6090.004,6.09,0.5599,4705.61
Oaxaca,San Pedro Sochiápam,0.778,5384.716,5.3847,0.9942,4731.0
Oaxaca,San Pedro Teutila,0.8,5455.644,5.4556,0.9914,2429.05
Oaxaca,San Pedro Yaneri,1.056,6146.404,6.1464,0.9784,1397.89
Oaxaca,San Pedro Yólox,1.004,5981.994,5.982,1.0,1103.02
Oaxaca,San Sebastián Coatlán,1.272,5354.494,5.3545,0.9942,5153.81
Oaxaca,Santa Ana Ateixtlahuaca,0.79,5434.926,5.4349,0.9861,543.11
Oaxaca,Santa Ana Cuauhtémoc,0.756,5417.522,5.4175,0.9595,427.85
Oaxaca,Santa Catarina Juquila,0.414,5821.708,5.8217,0.7118,4873.65
Oaxaca,Santa Catarina Loxicha,0.442,6081.236,6.0812,0.7176,513.94
Oaxaca,Santa Catarina Mechoacán,0.506,5837.42,5.8374,0.9821,83.16
Oaxaca,Santa Cruz Acatepec,0.794,5381.012,5.381,0.9914,1102.63
Oaxaca,Santa Cruz Itundujia,0.836,6396.366,6.3964,0.9894,5427.77
Oaxaca,Santa Lucía Monteverde,0.812,6360.372,6.3604,0.983,3795.39
Oaxaca,Santa María Alotepec,0.96,5664.902,5.6649,0.9936,4952.41
Oaxaca,Santa María Chilchotla,0.778,5408.118,5.4081,0.991,13763.79
Oaxaca,Santa María Chimalapa,0.872,5417.62,5.4176,0.9745,522.81
Oaxaca,Santa María Ecatepec,0.614,5396.45,5.3964,0.9597,87.79
Oaxaca,Santa María Guienagati,0.454,5440.312,5.4403,0.9964,2025.57
Oaxaca,Santa María Huatulco,0.506,6066.708,6.0667,0.5684,1944.55
Oaxaca,Santa María Jacatepec,0.896,4656.818,4.6568,0.8296,3400.4
Oaxaca,Santa María La Asunción,0.84,5373.614,5.3736,0.9888,1268.83
Oaxaca,Santa María Ozolotepec,1.198,5313.104,5.3131,0.9966,7017.52
Oaxaca,Santa María Pápalo,0.794,5413.06,5.4131,0.9342,167.66
Oaxaca,Santa María Temaxcalapa,1.034,5837.944,5.8379,0.9747,1390.61
Oaxaca,Santa María Temaxcaltepec,0.482,5754.736,5.7547,0.7776,1061.78
Oaxaca,Santa María Tepantlali,0.956,5796.024,5.796,0.9982,1013.66
Oaxaca,Santa María Tlalixtac,0.738,5383.382,5.3834,0.9703,454.37
Oaxaca,Santa María Tonameca,0.352,6084.92,6.0849,0.9939,531.21
Oaxaca,Santa María Yucuhiti,0.848,6376.668,6.3767,0.9637,2419.75
Oaxaca,Santa María Zacatepec,0.744,6426.872,6.4269,0.9863,4544.2
Oaxaca,Santa María Zaniza,1.692,5168.578,5.1686,0.9682,1574.4
Oaxaca,Santiago Atitlán,0.968,5762.468,5.7625,0.9947,3832.88
Oaxaca,Santiago Camotlán,1.044,5921.732,5.9217,0.9962,3532.58
Oaxaca,Santiago Choápam,0.85,4967.034,4.967,0.8386,2634.33
Oaxaca,Santiago Comaltepec,0.992,6233.25,6.2332,0.9958,1184.89
Oaxaca,Santiago Ixcuintepec,0.444,5401.678,5.4017,0.9924,1133.48
Oaxaca,Santiago Ixtayutla,0.534,5848.054,5.8481,0.9909,935.25
Oaxaca,Santiago Jamiltepec,0.522,5627.096,5.6271,0.9946,1833.41
Oaxaca,Santiago Jocotepec,0.776,4624.046,4.624,0.9248,2191.47
Oaxaca,Santiago Lachiguiri,0.452,5375.706,5.3757,0.9993,7149.44
Oaxaca,Santiago Lalopa,1.034,5917.076,5.9171,0.999,508.32
Oaxaca,Santiago Laollaga,0.418,5288.218,5.2882,0.9946,153.17
Oaxaca,Santiago Nuyoó,0.858,6357.032,6.357,0.9971,4303.07
Oaxaca,Santiago Tetepec,0.488,5841.968,5.842,0.9424,111.74
Oaxaca,Santiago Xanica,1.266,5441.834,5.4418,0.9924,12761.1
Oaxaca,Santiago Yaitepec,0.51,5802.728,5.8027,0.777,1795.52
Oaxaca,Santiago Yaveo,1.332,4708.69,4.7087,0.9729,3273.02
Oaxaca,Santiago Zacatepec,0.994,5630.47,5.6305,0.9923,6166.31
Oaxaca,Santo Domingo Petapa,0.842,5425.974,5.426,0.9192,8208.65
Oaxaca,Santo Domingo Roayaga,1.086,5970.356,5.9704,1.0,818.24
Oaxaca,Santo Domingo Tehuantepec,0.472,5350.836,5.3508,0.9989,1677.4
Oaxaca,Santo Domingo Teojomulco,1.552,5134.404,5.1344,0.9823,1675.68
Oaxaca,Santos Reyes Nopala,0.43,5792.154,5.7922,0.7344,2409.8
Oaxaca,Tamazulápam Del Espíritu Santo,0.974,5865.64,5.8656,0.9914,201.99
Oaxaca,Tanetze De Zaragoza,1.004,5929.938,5.9299,0.9825,3122.46
Oaxaca,Tataltepec De Valdés,0.362,6105.806,6.1058,0.9926,815.78
Oaxaca,Totontepec Villa De Morelos,0.954,5699.956,5.7,0.988,2087.51
Oaxaca,Villa De Tututepec De Melchor Ocampo,0.358,6084.79,6.0848,0.9967,3791.9
Oaxaca,Villa Talea De Castro,1.052,6083.482,6.0835,0.9959,3049.48
Veracruz,Acatlán,1.946,7482.902,7.4829,0.9882,160.82
Veracruz,Acayucan,1.77,6427.102,6.4271,1.0,81.41
Veracruz,Actopan,1.592,8457.344,8.4573,0.9972,3427.31
Veracruz,Alto Lucero De Gutiérrez Barrios,1.308,8276.204,8.2762,0.9992,11325.03
Veracruz,Altotonga,1.76,8044.798,8.0448,0.8363,14637.84
Veracruz,Amatlán De Los Reyes,1.326,6560.906,6.5609,0.599,7735.43
Veracruz,Apazapan,1.468,7565.308,7.5653,0.8015,67.84
Veracruz,Atoyac,1.81,6585.298,6.5853,1.0,27490.61
Veracruz,Atzacan,2.71,6156.92,6.1569,1.0,10189.76
Veracruz,Atzalan,1.834,7216.022,7.216,0.9985,75094.87
Veracruz,Banderilla,1.844,7564.524,7.5645,1.0,269.31
Veracruz,Catemaco,3.23,6560.0,6.56,0.6551,11323.88
Veracruz,Chiconquiaco,1.97,8046.238,8.0462,0.9993,13413.39
Veracruz,Chocamán,1.68,6589.402,6.5894,0.6775,8418.78
Veracruz,Chumatlán,1.94,7044.252,7.0443,0.9913,884.68
Veracruz,Coahuitlán,1.976,7197.864,7.1979,0.9984,4791.8
Veracruz,Coatepec,1.696,7468.307,7.4683,0.9844,61815.08
Veracruz,Coatzintla,2.3,7028.284,7.0283,0.8987,205.38
Veracruz,Coetzala,1.358,6635.078,6.6351,0.6858,2658.93
Veracruz,Colipa,2.328,5888.792,5.8888,0.9761,791.4
Veracruz,Comapa,2.042,6709.294,6.7093,0.8286,23683.1
Veracruz,Cosautlán De Carvajal,1.652,7145.498,7.1455,0.9896,30181.63
Veracruz,Coscomatepec,2.048,6793.168,6.7932,0.7862,726.52
Veracruz,Coxquihui,1.842,7224.584,7.2246,0.9987,2879.03
Veracruz,Coyutla,1.9,7276.178,7.2762,1.0,9053.5
Veracruz,Cuichapa,1.608,6617.018,6.617,0.8444,5241.21
Veracruz,Cuitláhuac,1.814,6809.192,6.8092,1.0,118.09
Veracruz,Córdoba,1.312,6591.324,6.5913,0.4427,5773.3
Veracruz,Emiliano Zapata,1.78,7402.369,7.4024,0.9295,30408.59
Veracruz,Espinal,1.552,6595.604,6.5956,0.9852,412.92
Veracruz,Filomeno Mata,1.888,7113.1,7.1131,0.9993,5273.18
Veracruz,Fortín,1.316,6577.298,6.5773,0.3809,4502.46
Veracruz,Huatusco,1.868,6757.704,6.7577,0.8559,59705.65
Veracruz,Huayacocotla,1.3,5787.458,5.7875,0.9418,162.63
Veracruz,Hueyapan De Ocampo,2.548,6563.492,6.5635,1.0,8281.0
Veracruz,Huiloapan De Cuauhtémoc,3.098,6050.262,6.0503,1.0,1332.65
Veracruz,Ilamatlán,1.274,5826.196,5.8262,0.9896,1197.69
Veracruz,Ixhuacán De Los Reyes,1.314,7973.876,7.9739,0.9147,3824.55
Veracruz,Ixhuatlancillo,3.102,6115.054,6.1151,1.0,203.25
Veracruz,Ixhuatlán De Madero,1.494,5871.602,5.8716,0.8928,9954.04
Veracruz,Ixtaczoquitlán,1.342,6622.178,6.6222,0.2736,2924.46
Veracruz,Jalacingo,1.75,7931.744,7.9317,0.8289,4669.86
Veracruz,Jalcomulco,1.616,7394.074,7.3941,0.8892,596.58
Veracruz,Jilotepec,2.042,7817.32,7.8173,0.9997,18136.66
Veracruz,Juchique De Ferrer,2.72,6241.582,6.2416,0.9991,59027.95
Veracruz,Las Minas,1.836,7760.118,7.7601,0.9253,1275.18
Veracruz,Los Reyes,1.874,6598.882,6.5989,0.9144,2142.01
Veracruz,Magdalena,1.89,6576.93,6.5769,0.9298,1039.53
Veracruz,Mariano Escobedo,2.714,5932.358,5.9324,1.0,601.15
Veracruz,Martínez De La Torre,1.896,7230.488,7.2305,0.9333,265.15
Veracruz,Mecatlán,1.916,7235.756,7.2358,1.0,8305.86
Veracruz,Mecayapan,2.158,6951.054,6.9511,0.9974,1635.76
Veracruz,Miahuatlán,1.982,8208.978,8.209,1.0,751.97
Veracruz,Misantla,2.658,6173.884,6.1739,0.9983,46432.29
Veracruz,Mixtla De Altamirano,1.898,6614.646,6.6146,0.9674,2985.56
Veracruz,Naolinco,1.966,9281.668,9.2817,0.9996,9590.54
Veracruz,Naranjal,1.312,6570.17,6.5702,0.5747,4172.31
Veracruz,Nautla,2.144,5890.568,5.8906,0.952,510.02
Veracruz,Oluta,1.648,4922.284,4.9223,1.0,32.84
Veracruz,Omealca,1.718,6684.024,6.684,0.8152,6016.13
Veracruz,Papantla,1.444,5459.63,5.4596,0.9846,86.62
Veracruz,Paso Del Macho,1.806,6679.446,6.6794,1.0,3865.83
Veracruz,Puente Nacional,0.93,6707.27,6.7073,0.5985,634.9
Veracruz,Rafael Delgado,1.422,6749.43,6.7494,0.5566,176.96
Veracruz,Río Blanco,2.536,5989.89,5.9899,1.0,368.98
Veracruz,San Andrés Tenejapan,1.89,6571.562,6.5716,0.9415,465.45
Veracruz,San Juan Evangelista,1.64,6316.546,6.3165,1.0,123.0
Veracruz,Sayula De Alemán,1.822,6409.848,6.4098,1.0,91.1
Veracruz,Sochiapa,2.048,6605.11,6.6051,0.8346,9258.66
Veracruz,Soteapan,2.546,6947.48,6.9475,0.998,31251.55
Veracruz,Tatatila,1.82,9092.438,9.0924,0.9349,2978.67
Veracruz,Tehuipango,1.824,6613.708,6.6137,0.932,257.63
Veracruz,Tenampa,2.0,6652.128,6.6521,0.8604,25357.06
Veracruz,Tenochtitlán,2.834,6519.566,6.5196,0.9958,14827.1
Veracruz,Teocelo,1.686,7302.74,7.3027,0.9861,15053.1
Veracruz,Tepatlaxco,1.808,6539.82,6.5398,1.0,25493.16
Veracruz,Tepetlán,2.03,7746.636,7.7466,1.0,5822.1
Veracruz,Tequila,2.0,6611.766,6.6118,0.9255,13740.55
Veracruz,Texcatepec,1.256,5673.59,5.6736,0.999,4816.88
Veracruz,Texhuacán,1.824,6631.59,6.6316,0.8237,495.81
Veracruz,Tezonapa,1.406,6636.828,6.6368,0.9492,104758.42
Veracruz,Tlachichilco,1.49,5774.244,5.7742,0.9121,17752.95
Veracruz,Tlacotepec De Mejía,2.072,6602.552,6.6026,0.7844,8634.64
Veracruz,Tlaltetela,2.14,6558.174,6.5582,0.8546,35968.53
Veracruz,Tlapacoyan,1.956,7202.984,7.203,0.9957,9163.38
Veracruz,Tlilapan,1.634,6633.166,6.6332,0.7201,137.39
Veracruz,Tomatlán,2.046,6667.102,6.6671,0.794,5782.38
Veracruz,Tonayán,1.89,8860.684,8.8607,0.9889,162.55
Veracruz,Totutla,1.816,6739.482,6.7395,0.8909,44527.34
Veracruz,Vega De Alatorre,2.234,6161.288,6.1613,0.9841,3178.41
Veracruz,Xalapa,1.616,7461.145,7.4611,0.9243,7200.5
Veracruz,Xico,1.71,7257.076,7.2571,0.989,22753.63
Veracruz,Yanga,1.804,6563.638,6.5636,1.0,1675.08
Veracruz,Yecuatla,2.79,6502.736,6.5027,0.9986,25361.16
Veracruz,Zacualpan,1.276,5729.486,5.7295,0.9944,1339.93
Veracruz,Zentla,2.028,6609.606,6.6096,0.8003,28187.7
Veracruz,Zongolica,2.04,6620.664,6.6207,0.9112,61797.66
Veracruz,Zontecomatlán De López Y Fuentes,1.302,5818.872,5.8189,0.9824,716.23
Veracruz,Zozocolco De Hidalgo,1.96,7114.46,7.1145,1.0,5390.0
